recid,mm,dd,yy,county,loc_1
39644,2,6,69,Mayo,
39645,2,6,69,Mayo,
39646,1,2,69,"*of Troy, NY",NYC last heard Oct 1867
39647,1,2,69,,"IL, Macon"
39648,1,2,69,,
39649,1,2,69,,
39650,1,2,69,,"GA, Savannah"
39651,1,2,69,,America
39652,1,2,69,,"PA, Philadelphia left Easter 1863"
39653,1,2,69,,"*England, Bolton left Oct 1867"
39654,1,2,69,,"*CE, Toronto left 1851"
39655,1,2,69,,
39656,1,2,69,,"MA, Cambridgeport last heard"
39657,1,2,69,,"PA, Philadelphia last heard"
39658,1,2,69,,TX last heard
39659,1,2,69,,"MA, Lowell left Aug 1866"
39660,1,2,69,"*CW, Glengarry, Lochiel","PA, Philadelphia"
39661,2,6,69,Mayo,"MA, Warren (last heard)"
39662,2,6,69,Cork,"Canada West, St. Catherines (left 1863)"
39663,2,6,69,Cork,
39664,2,6,69,Cork,
39665,2,6,69,Cork,"PA, Allentown"
39666,2,6,69,Kerry,"MA, Boston (1847)"
39668,2,6,69,Kerry,
39669,2,6,69,Kerry,
39670,2,6,69,Kerry,
39671,2,6,69,Kerry,
39672,2,6,69,Kerry,
39673,2,6,69,Kerry,
39674,2,6,69,Tipperary,"CT, Litchfield (last heard)"
39675,2,6,69,Tipperary,"CT, Litchfield (last heard)"
39676,2,6,69,Tipperary,"CT, Litchfield (last heard)"
39677,2,6,69,Tipperary,
39678,2,6,69,Tipperary,"MN, St. Paul (last heard)"
39683,1,2,69,,"*England, London (left 1848)"
39684,1,2,69,,"*England, London (left 1848)"
39685,1,2,69,,"MA, Boston last heard"
39686,1,2,69,,
39687,1,2,69,,"IL, Woosung (heard)"
39688,1,2,69,,CT last heard 1857
39689,1,2,69,Mayo,"*England, Wolverhampton left 1856"
39690,1,2,69,,"* England, Wolverhampton left 1857"
39691,1,3,69,Mayo,"OH, Cleveland (1852-3)"
39692,1,2,69,Mayo,*Jamaica (left 1843)
39693,1,2,69,Mayo,*Jamaica (left 1843)
39694,1,2,69,Mayo,"PA, Franklin"
39695,1,2,69,Mayo,"VA, Pittsburg [sic] 1859"
39696,1,2,69,Cavan,"MI, Manistee (July 1866)"
39697,1,2,69,Cork,"NY, Castle Garden last heard"
39698,1,2,69,Cork,
39699,1,2,69,Cork,
39700,1,2,69,Cork,"MA, Boston last heard 1855"
39701,1,2,69,Kerry,"MA, Boston last heard"
39702,1,2,69,Kerry,"MA, Boston last heard"
39703,1,2,69,Kerry,"ME, Brunswick"
39704,1,2,69,Kerry,"ME, Brunswick"
